fid,Hg_con_PPB,Species,Location type,Forest type,Location type_1,time_bnds_1,Land cover/use,SoilQualityData; Nutrient availability,SoilQualityData; Excess salts,SoilQualityData; Workability,SoilQualityData; Toxicity,SoilQualityData; Rooting contitions,SoilQualityData; Oxygen availability to roots,SoilQualityData; Nutrient retention capacity,SoilLandCoverData; barren/very sparsely vegetated land,SoilLandCoverData; grass/scrub/woodland,"SoilLandCoverData; forest land, calibrated to FRA2000 land statistics",SoilLandCoverData; rain-fed cultivated land,"SoilLandCoverData; irrigated cultivated land, according to GMIA 4.0",SoilLandCoverData; total cultivated land,SoilLandCoverData; mapped water bodies,SoilLandCoverData; built-up land (residential and infrastructure),10m_Elevation
30,1,black alder,Combustion Waste Disposal Site,Decidous,Combustion Waste Disposal Site,,22,3,1,1,1,1,2,3,0,32.7231369,20.3361721,25.93678665,0.498205811,26.43499184,0,20.50570107,190
31,54,black alder,Combustion Waste Disposal Site,Decidous,Combustion Waste Disposal Site,,22,3,1,1,1,1,2,3,0,32.7231369,20.3361721,25.93678665,0.498205811,26.43499184,0,20.50570107,190
32,328,gray alder,Combustion Waste Disposal Site,Decidous,Combustion Waste Disposal Site,,22,3,1,1,1,1,2,3,0,32.7231369,20.3361721,25.93678665,0.498205811,26.43499184,0,20.50570107,190
33,202,gray alder,Combustion Waste Disposal Site,Decidous,Combustion Waste Disposal Site,,22,3,1,1,1,1,2,3,0,32.7231369,20.3361721,25.93678665,0.498205811,26.43499184,0,20.50570107,190
34,23,gray alder,Combustion Waste Disposal Site,Decidous,Combustion Waste Disposal Site,,22,3,1,1,1,1,2,3,0,32.7231369,20.3361721,25.93678665,0.498205811,26.43499184,0,20.50570107,190
35,1,gray alder,Combustion Waste Disposal Site,Decidous,Combustion Waste Disposal Site,,22,3,1,1,1,1,2,3,0,32.7231369,20.3361721,25.93678665,0.498205811,26.43499184,0,20.50570107,190
36,52,gray alder,Combustion Waste Disposal Site,Decidous,Combustion Waste Disposal Site,,22,3,1,1,1,1,2,3,0,32.7231369,20.3361721,25.93678665,0.498205811,26.43499184,0,20.50570107,190
37,2.3,Canary islands pine, volcanic origin,Coniferous, volcanic origin,,19,1,1,1,1,1,1,1,59.35820007,29.86762238,9.958575249,0,0,0,0,0.815599978,1962
38,9.5,Canary islands pine, volcanic origin,Coniferous, volcanic origin,,19,1,1,1,1,1,1,1,59.35820007,29.86762238,9.958575249,0,0,0,0,0.815599978,1962
39,6,Canary islands pine, volcanic origin,Coniferous, volcanic origin,,19,1,1,1,1,1,1,1,59.35820007,29.86762238,9.958575249,0,0,0,0,0.815599978,1962
40,2.9,Canary islands pine, volcanic origin,Coniferous, volcanic origin,,19,1,1,1,1,1,1,1,59.35820007,29.86762238,9.958575249,0,0,0,0,0.815599978,1962
41,1.4,Canary islands pine, volcanic origin,Coniferous, volcanic origin,,19,1,1,1,1,1,1,1,59.35820007,29.86762238,9.958575249,0,0,0,0,0.815599978,1962
42,2,Canary islands pine, volcanic origin,Coniferous, volcanic origin,,19,1,1,1,1,1,1,1,59.35820007,29.86762238,9.958575249,0,0,0,0,0.815599978,1962
43,1.2,Canary islands pine, volcanic origin,Coniferous, volcanic origin,,19,1,1,1,1,1,1,1,59.35820007,29.86762238,9.958575249,0,0,0,0,0.815599978,1962
44,66,/,remote,moss,remote,,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
45,14,Colobanthus quitensis,remote,Wetland-salt marsh,/,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333
46,78,"Brachythecium sp., Syntrichia princeps and Sanionia uncinata",remote,Wetland-salt marsh,/,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333
47,180,Usnea aurantiaco-atra and Usnea antarctica,remote,Wetland-salt marsh,/,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333
48,4200,Species 1. Lachemilla pinnata,artisanal small-scale gold mines,grass,artisanal small-scale gold mines,,21,2,1,2,1,2,1,2,41.9855957,57.72144318,0.258759499,0,0,0,0,0.034200002,4564
49,10400,Genera 1. Agrostis sp.,artisanal small-scale gold mines,grass,artisanal small-scale gold mines,,21,2,1,2,1,2,1,2,41.9855957,57.72144318,0.258759499,0,0,0,0,0.034200002,4564
50,5500,Genera 2. Calamagrostis sp.,artisanal small-scale gold mines,grass,artisanal small-scale gold mines,,21,2,1,2,1,2,1,2,41.9855957,57.72144318,0.258759499,0,0,0,0,0.034200002,4564
51,9300,Genera 1. aff Achyrocline,artisanal small-scale gold mines,grass,artisanal small-scale gold mines,,21,2,1,2,1,2,1,2,41.9855957,57.72144318,0.258759499,0,0,0,0,0.034200002,4564
52,7000,Species 1. Azorella biloba,artisanal small-scale gold mines,grass,artisanal small-scale gold mines,,21,2,1,2,1,2,1,2,41.9855957,57.72144318,0.258759499,0,0,0,0,0.034200002,4564
53,5900,Species 1. Lachemilla pinnata,artisanal small-scale gold mines,grass,artisanal small-scale gold mines,,21,2,1,2,1,2,1,2,41.9855957,57.72144318,0.258759499,0,0,0,0,0.034200002,4564
54,11200,Genera 1. Agrostis sp.,artisanal small-scale gold mines,grass,artisanal small-scale gold mines,,21,2,1,2,1,2,1,2,41.9855957,57.72144318,0.258759499,0,0,0,0,0.034200002,4564
55,6600,Genera 2. Calamagrostis sp.,artisanal small-scale gold mines,grass,artisanal small-scale gold mines,,21,2,1,2,1,2,1,2,41.9855957,57.72144318,0.258759499,0,0,0,0,0.034200002,4564
56,1100,Genera 1. aff Achyrocline,artisanal small-scale gold mines,grass,artisanal small-scale gold mines,,21,2,1,2,1,2,1,2,41.9855957,57.72144318,0.258759499,0,0,0,0,0.034200002,4564
57,6700,Species 1. Azorella biloba,artisanal small-scale gold mines,grass,artisanal small-scale gold mines,,21,2,1,2,1,2,1,2,41.9855957,57.72144318,0.258759499,0,0,0,0,0.034200002,4564
58,3000,Species 1. Lachemilla pinnata,artisanal small-scale gold mines,grass,artisanal small-scale gold mines,,21,2,1,2,1,2,1,2,41.9855957,57.72144318,0.258759499,0,0,0,0,0.034200002,4564
59,1200,Species 1. Aciachne acicularis,artisanal small-scale gold mines,grass,artisanal small-scale gold mines,,21,2,1,2,1,2,1,2,41.9855957,57.72144318,0.258759499,0,0,0,0,0.034200002,4564
