Bug ID,Product,Component,Assignee,Status,Resolution,Summary,Change Request,Priority,Severity
1612268,Firefox,Tabbed Browser,nobody,RESOLVED,WORKSFORME,dragging a tab after restarting firefox not possible while tab is still loading, ---,P3,normal
1614238,Firefox,Address Bar,nobody,RESOLVED,WONTFIX,Consider increasing size of URL text in address bar dropdown, ---,P3,normal
1614362,Firefox,Messaging System,nobody,RESOLVED,WONTFIX,Write documentation/how-to's for the DevTools Targeting tab, ---,P3,normal
1614759,Firefox,WebPayments UI,nobody,RESOLVED,WONTFIX,Convert or do something with the webpayments UI for Fission, ---,P3,normal
1614787,Firefox,Security,nobody,RESOLVED,DUPLICATE,"Unexpectedly wide clickable region for ""Learn More"" link in DoH/Cloudflare doorhanger-alert", ---,P3,normal
1614833,Firefox,Address Bar,nobody,RESOLVED,DUPLICATE,Tabbing through address bar and separate search bar results in inconsistent behavior, ---,P3,S4
1614984,Firefox,Address Bar,nobody,RESOLVED,DUPLICATE,Some searches are incorrectly interpreted as URLs, ---,P3,normal
1615027,Firefox,Launcher Process,nobody,RESOLVED,DUPLICATE,SERIOUS BUG Cannot launch many things after update 73.0, ---,P3,normal
1615470,Firefox,Address Bar,nobody,RESOLVED,WORKSFORME,Heuristic and private search results aren't properly updated when a one-off search button is selected and you continue typing, ---,P3,S3
1616058,Firefox,Sync,nobody,RESOLVED,DUPLICATE,Syntax errors in `SyncedBookmarksMirror.jsm` due to on-disk corruption, ---,P3,normal
1616296,Firefox,PDF Viewer,nobody,RESOLVED,INCOMPLETE,PDF Printing: Unusual Characters Appearing, ---,P3,normal
1616299,Firefox,Preferences,nobody,RESOLVED,WORKSFORME,Ensure Site Data Manager information is still correct with dFPI, ---,P3,normal
1616471,Firefox,General,nobody,RESOLVED,INVALID,Firefox browser has entirely removed the firepath addons, ---,P3,minor
1616603,Firefox,General,nobody,RESOLVED,DUPLICATE,Remove nsIXULBrowserWindow::forceInitialBrowserNonRemote, ---,P3,normal
1616834,Firefox,Installer,nobody,RESOLVED,INVALID,Stub Installer Paveover update prompt is not displayed, ---,P3,normal
1617045,Firefox,Security,nobody,RESOLVED,DUPLICATE,[certificate viewer] Label ipAddress entries in the Subject Alternative Name extension, ---,P3,normal
1617318,Firefox,Address Bar,nobody,RESOLVED,WONTFIX,"When a tip is shown, automatically increment the <type>-shown key in the urlbar.tips keyed scalar telemetry", ---,P3,normal
1617504,Firefox,Security,nobody,RESOLVED,DUPLICATE,improve the usability of HTTP Basic authentication, ---,P3,normal
1617560,Firefox,New Tab Page,nobody,RESOLVED,DUPLICATE,Activity stream content is not vertically centered since 73, ---,P3,normal
1617603,Firefox,Address Bar,nobody,RESOLVED,WORKSFORME,Make browser_urlbar_event_telemetry.js more reliable, ---,P3,S3
1618330,Firefox,New Tab Page,nobody,RESOLVED,DUPLICATE,Use other browser Top Sites data to preview migrating data, ---,P3,normal
1619634,Firefox,Address Bar,nobody,RESOLVED,INCOMPLETE,"On First opening Firefox, the software hangs for 10 to 20 seconds when anthing is entered into the address bar", ---,P3,S3
1619955,Firefox,General,nobody,RESOLVED,WONTFIX,content process crash reporting dialog missing email address field, ---,P3,normal
1620570,Firefox,Search,nobody,RESOLVED,WORKSFORME,Wrong Region For Search Engines (when in austria), ---,P3,normal
1621623,Firefox,Search,nobody,RESOLVED,DUPLICATE,Address bar one-click search engine suggestions reappear on each upgrade of Firefox, ---,P3,normal
1622839,Firefox,Shell Integration,nobody,RESOLVED,WORKSFORME,firefox dev edition as default webbrowser wont work, ---,P3,normal
1622886,Firefox,Messaging System,nobody,RESOLVED,DUPLICATE,Consider splitting up targeting via filter expression and sampling, ---,P3,normal
1623277,Firefox,about:logins,nobody,RESOLVED,WORKSFORME,Crash in Windows::UI::Xaml::Application::LoadComponent via windows.ui.cred.dll, ---,P3,S3
1623678,Firefox,Theme,nobody,RESOLVED,DUPLICATE,Replace #d74345 with an accessible CSS variable, ---,P3,normal
1623710,Firefox,Messaging System,nobody,RESOLVED,DUPLICATE,Support RTAMO onboarding template in simplified about:welcome flow, ---,P3,normal
1624003,Firefox,Address Bar,nobody,RESOLVED,WONTFIX,Search Tips :  screen reader on ubuntu not working, ---,P3,normal
1625415,Firefox,Messaging System,nobody,RESOLVED,WONTFIX,"The ""Browse Privately"" card is not dismissed from the ""about:newtab"" page after it was previously accessed from the ""about""welcome"" page", ---,P3,blocker
1625597,Firefox,Messaging System,nobody,RESOLVED,DUPLICATE,Launch Heartbeat CFR Survey Message, ---,P3,normal
1626397,Firefox,Session Restore,nobody,RESOLVED,WONTFIX,Restoring windows from a session does not respect whether or not Fission was enabled for each window, ---,P3,S3
1626731,Firefox,Session Restore,nobody,RESOLVED,INACTIVE,Firefox doesn't open all windows when restarting, ---,P3,S2
1627247,Firefox,Nimbus Desktop Client,nobody,RESOLVED,WONTFIX,Consider a more explicit strategy for unenrollment of experiments, ---,P3,normal
1627549,Firefox,Search,nobody,RESOLVED,DUPLICATE,Create RemoteSetting bucket with map, ---,P3,normal
1628365,Firefox,Address Bar,nobody,RESOLVED,WONTFIX,One off search separator remains visible when all one off engines are hidden/disabled, ---,P3,normal
1628892,Firefox,Sync,nobody,RESOLVED,WONTFIX,Make sync engines bridged via golden_gate report reconciliation count in the sync ping., ---,P3,normal
1628997,Firefox,Address Bar,nobody,RESOLVED,DUPLICATE,It's no more possible to access list of frequently accessed pages in PB mode, ---,P3,S3
1629075,Firefox,Address Bar,nobody,RESOLVED,WORKSFORME,reloading a page places the cursor to the beginning of urlbar, ---,P3,S3
1629356,Firefox,New Tab Page,nobody,RESOLVED,WORKSFORME,Sites pinned to top sites have small greyed out pin vs blue active/toggled pin on iOS, ---,P3,normal
1629387,Firefox,Address Bar,nobody,RESOLVED,WORKSFORME,Evaluate ways to have top sites and frecent sites coexist, ---,P3,S3
1629639,Firefox,Address Bar,nobody,RESOLVED,WONTFIX,Urlbar Search Tips obscure the bookmarks toolbar, ---,P3, --
1630342,Firefox,Theme,nobody,RESOLVED,WORKSFORME,Fix the vertical alignment of the bookmarks toolbar drag&drop indicator, ---,P3,S4
1631284,Firefox,Address Bar,nobody,RESOLVED,DUPLICATE,Address bar is not focused when creating a new tab from a fullscreen video, ---,P3,minor
1631641,Firefox,General,nobody,RESOLVED,DUPLICATE,Get rid of macOS pre-Lion fullscreen code, ---,P3, --
1631645,Firefox,New Tab Page,nobody,RESOLVED,WORKSFORME,"Opening Instagram through the Top Sites immediately after starting Firefox, it fails to open in a Facebook isolated tab", ---,P3,S3
1631840,Firefox,Security,nobody,RESOLVED,DUPLICATE,Anchor the DoH doorhanger to the hamburger menu button instead of the identity box., ---,P3,N/A
1632035,Firefox,Address Bar,nobody,RESOLVED,DUPLICATE,See if the providers manager or provider base class can manage query lifetimes instead of having every provider subclass do it, ---,P3, --
1632306,Firefox,Sync,nobody,RESOLVED,WONTFIX,"Syncing ""Logins and passwords"" is ambiguous (unless logged in status is synced across devices)", ---,P3, --
1632539,Firefox,Theme,nobody,RESOLVED,WONTFIX,Edit bookmark panel color changed in dark theme, ---,P3,normal
1633007,Firefox,Nimbus Desktop Client,nobody,RESOLVED,WONTFIX,Consider two-phase evaluation on targeting for first-run experiment enrollments, ---,P3, --
1633465,Firefox,Sync,nobody,RESOLVED,INACTIVE,my bookmarks continuously copy/sync and duplicate them self, ---,P3,S3
1633823,Firefox,Address Bar,nobody,RESOLVED,WONTFIX,Pinned badge color (gray) inconsistent with other badge colors (blue), ---,P3,S4
1633903,Firefox,New Tab Page,nobody,RESOLVED,WONTFIX,Make sure snippets can appear on the cached about:home on startup, ---,P3,N/A
1635088,Firefox,Search,nobody,RESOLVED,DUPLICATE,Firefox search autocomplete results overlap other opened subviews when both are opened from overflow menu, ---,P3,S3
1635550,Firefox,General,nobody,RESOLVED,DUPLICATE,Migrate pageActionPanel to Fluent, ---,P3,S3
1635574,Firefox,Search,nobody,RESOLVED,DUPLICATE,Send the last used source with ad click telemetry, ---,P3,N/A
1635792,Firefox,New Tab Page,nobody,RESOLVED,INVALID,"The ""Newsletter Signup Snippet"" component should no longer be displayed after the users subscribe to the Pocket newsletter", ---,P3, --
1636132,Firefox,Address Bar,nobody,RESOLVED,WORKSFORME,"Search autocomplete in URLbar removes the ""? "" prefix", ---,P3,S3
1636873,Firefox,Protections UI,nobody,RESOLVED,WONTFIX,"The manage passwords button in the Lockwise card should sort about:logins by ""Alerts"" when breached logins exist", ---,P3, --
1637798,Firefox,Sync,nobody,RESOLVED,WONTFIX,Overhaul sync ping telemetry error reporting, ---,P3,S4
1638432,Firefox,Installer,nobody,RESOLVED,DUPLICATE,Make Firefox available as a default PDF app on Windows, ---,P3,S3
1638732,Firefox,Security,nobody,RESOLVED,WORKSFORME,"DNS-over-HTTPS: incessant nagging ""opt-out""  pop-up that DoH is enabled", ---,P3,S3
1638803,Firefox,File Handling,nobody,RESOLVED,WONTFIX,Add automated tests for the window parenting of the protocol handler choice dialog, ---,P3,S4
1639501,Firefox,Theme,nobody,RESOLVED,DUPLICATE,[Ubuntu 20] Window controls are barely visible on light theme, ---,P3,S3
1642812,Firefox,Site Permissions,nobody,RESOLVED,WONTFIX,"The corners of the Global Sharing Indicator should be rounded, not pointy", ---,P3,S4
1642959,Firefox,Search,nobody,RESOLVED,WONTFIX,Investigate not storing _isBuiltIn in the search engine cache, ---,P3,N/A
